keyword,description,category,datatype,comment,hdu,missions,mandatory,content,relevance_score,relevance_comment,user_comment
PIXAR_SR,Nominal pixel area in steradians,Photometry,float,Nominal pixel area in steradians,SCI,JWST,False,"This keyword specifies the nominal angular area of a single pixel on the sky, expressed in steradians. It is useful for converting flux density per steradian to flux density per pixel, and for calculations involving surface brightness measurements.",78,"This keyword provides the nominal pixel area, essential for photometric calculations involving surface brightness or converting flux units.",
PIXAR_A2,Nominal pixel area in arcsec squared,Photometry,float,Nominal pixel area in arcsec^2,SCI,JWST,False,"This keyword defines the nominal angular area of a single pixel on the sky, expressed in square arcseconds. It is a fundamental parameter for understanding the spatial resolution of the image and for performing photometric conversions involving the image scale.",90,"This keyword is highly relevant as it provides the fundamental pixel scale in a widely understood astronomical unit, crucial for understanding image resolution and performing photometric conversions.",
HGA_MOVE,High Gain Antenna moved during data collection,Engineering,boolean,High Gain Antenna moved during data collection,PRIMARY,JWST,False,"This boolean flag indicates whether the High Gain Antenna (HGA) of the observatory was repositioned at any point while the scientific data was being collected. An HGA move can sometimes introduce minor disturbances, which may be relevant for very sensitive observations.",45,"This boolean flag is useful for advanced users to diagnose potential data quality issues, indicating if an observatory operation occurred during exposure.",
PWFSEET,Exposure end time from the previous WFS exposure (MJD),Engineering,float,[d] previous WFS exposure end time in MJD,PRIMARY,JWST,False,"This timestamp, given in Modified Julian Date (MJD), records the exact end time of the wavefront sensing (WFS) exposure that immediately preceded the current scientific observation. It provides context for the timing of instrument calibrations relative to the science data.",25,"This is an internal timing detail related to wavefront sensing, primarily relevant for instrument engineers and advanced debugging.",
NWFSEST,Exposure start time from the next WFS exposure (MJD),Engineering,float,[d] next WFS exposure start time in MJD,PRIMARY,JWST,False,"This timestamp, provided in Modified Julian Date (MJD), indicates the exact start time of the next scheduled wavefront sensing (WFS) exposure following the current scientific observation. It is an internal operational detail for tracking instrument calibration cycles.",25,"This is an internal timing detail related to wavefront sensing, primarily relevant for instrument engineers and advanced debugging.",
ERRTYPE,"Type of values in the error array (ERR, IERR, VAR, IVAR)",Engineering,string,Error array type,ERR,JWST,False,"This keyword specifies what kind of uncertainty data is stored in a corresponding error array, such as direct errors, inverse errors, variance, or inverse variance. Understanding the error type is crucial for correctly interpreting the statistical reliability of the astronomical measurements. Knowing this helps users apply the correct statistical methods for analysis.",75,This keyword is important for correctly understanding and utilizing the uncertainty information associated with the astronomical data.,
FA1VALUE,Requested focus actuator 1 absolute position value,Engineering,float,Focus actuator 1 position,PRIMARY,JWST,False,"This keyword indicates the desired position for the first of several focus actuators, which are mechanical components used to precisely adjust the telescope's focus. It's an internal engineering setting reflecting the requested optical configuration. This value is part of the fine-tuning of the instrument's optics.",10,This is a low-level engineering parameter that provides minimal direct value to most end-users interested in the astronomical data.,
FA2VALUE,Requested focus actuator 2 absolute position value,Engineering,float,Focus actuator 2 position,PRIMARY,JWST,False,"Similar to FA1VALUE, this keyword specifies the requested absolute position for the second focus actuator. These actuators work together to achieve the desired optical focus for the instrument. It reflects a specific internal setup of the instrument.",10,This is a low-level engineering parameter that provides minimal direct value to most end-users interested in the astronomical data.,
FA3VALUE,Requested focus actuator 3 absolute position value,Engineering,float,Focus actuator 3 position,PRIMARY,JWST,False,"This keyword records the requested absolute position for the third focus actuator. Together with the other actuators, it helps finely tune the instrument's optical focus. It's an internal instrument setting.",10,This is a low-level engineering parameter that provides minimal direct value to most end-users interested in the astronomical data.,
FCSRLPOS,NIRSpec RMA relative position in motor steps (−18400 to +18400),Engineering,integer,NIRSpec RMA relative position,PRIMARY,JWST,False,"This keyword indicates the relative position of the NIRSpec Refocus Mechanism Assembly (RMA) in motor steps, reflecting its setting for optical focus adjustments. It describes the precise physical configuration of an internal instrument component at the time of observation.",10,This is a detailed instrument engineering parameter that offers little direct utility to most end-users analyzing the scientific data.,
RMA_POS,NIRSpec Refocus Mechanism Assembly latest hall-position sensor value,Engineering,float,RMA hall-position sensor value,PRIMARY,JWST,False,"This keyword stores the actual measured position of the NIRSpec Refocus Mechanism Assembly (RMA) as reported by its hall-position sensor. It provides a real-time reading of a critical component for optical focus, indicating its true position during observation.",10,This is a detailed instrument engineering parameter that offers little direct utility to most end-users analyzing the scientific data.,
ROIS,Radius of the region of interest in spatial dimensions (arcsec),Engineering,float,ROI spatial radius,PRIMARY,JWST,False,"This keyword defines the spatial radius of a 'region of interest' used during data processing, typically for integral field unit (IFU) observations. It indicates the angular extent around a target that was considered relevant for extraction or analysis. Understanding this helps advanced users assess the spatial context of extracted spectra.",55,This keyword can be useful for advanced users to understand the spatial extent of processed data in IFU observations.,
ROIW,Radius of the region of interest in wavelength dimension (arcsec),Engineering,float,ROI wavelength radius,PRIMARY,JWST,False,"This keyword specifies the radius of a 'region of interest' in the wavelength dimension, again typically for IFU data processing. It describes the spectral extent considered important for analysis or extraction. This helps advanced users understand the spectral coverage of processed data.",55,This keyword can be useful for advanced users to understand the spectral extent of processed data in IFU observations.,
WPOWER,Weighting power controlling distance weighting for IFU spaxels,Engineering,float,IFU weighting power,PRIMARY,JWST,False,This keyword indicates the exponent used in a distance-weighting scheme when combining data from individual spatial pixels (spaxels) in an Integral Field Unit (IFU) observation. It controls how strongly the flux from nearby spaxels contributes to a combined measurement. This is a processing parameter.,45,This parameter is relevant for advanced users who need to understand the details of how IFU spaxel data was weighted and combined during processing.,
WTYPE,Type of weighting used when combining IFU point cloud fluxes,Engineering,string,IFU weighting type,PRIMARY,JWST,False,"This keyword describes the specific method or algorithm used for weighting and combining fluxes from multiple spaxels in an Integral Field Unit (IFU) observation. It provides information on how different spaxels contributed to the final flux measurements, such as 'uniform' or 'distance-weighted'.",45,This keyword is important for advanced users seeking to understand the specific weighting algorithm applied during the combination of IFU spaxel data.,
SCATFILE,Source catalog filename generated by the source_catalog pipeline step,Resampling,string,Source catalog filename,PRIMARY,JWST,False,"This keyword stores the name of an intermediate file containing a catalog of sources detected in the image, generated during the data processing pipeline. It's used internally by the pipeline to track processing steps, especially related to source detection and astrometric solutions.",25,This filename refers to an internal pipeline product that most users will not directly need or understand.,
TCATFILE,Tweakreg catalog filename used for image alignment,Resampling,string,Tweakreg catalog filename,PRIMARY,JWST,False,"This keyword specifies the filename of the source catalog used by the 'tweakreg' pipeline step, which performs precise astrometric alignment of images. It helps the pipeline keep track of which catalog was used for spatial registration adjustments.",25,This filename refers to an internal pipeline product used for astrometric alignment that most users will not directly need.,
COMMENT,Free-form comment text. Multiple COMMENT keywords can appear in a header.,Comments,string,Comment,PRIMARY; SCI; ERR; DQ,FITS Standard; JWST; HST; TESS; Kepler; GALEX; Pan-STARRS,False,"This keyword provides free-form textual comments from data producers or users. It can contain any human-readable information that might be useful, such as notes on observing conditions, processing steps, or data quality.",85,Provides human-readable context or additional notes about the data which is often valuable to end-users.,
HISTORY,Processing history entry. Multiple HISTORY keywords can appear.,Comments,string,Processing history entry,PRIMARY; SCI,FITS Standard; JWST; HST; TESS; Kepler; GALEX; Pan-STARRS,False,"This keyword records a historical log of processing steps applied to the data, often including timestamps, software versions, and parameters used. It's crucial for understanding the provenance and transformations the data has undergone.",90,"Provides a critical log of data processing steps, essential for understanding data provenance and quality.",
PHOTFLAM,Inverse sensitivity: flux density of a source with constant F_lambda that produces 1 count/s (erg/s/cm2/Angstrom). HST-specific.,Photometry,float,Inverse sensitivity (erg/s/cm2/A),SCI,HST,False,"This keyword represents the inverse sensitivity of the instrument in a specific filter, indicating the flux density of a source (in erg/s/cm²/Å) that would produce one count per second. It's essential for converting raw data counts into absolute flux units, especially for HST data.",80,"Crucial for converting raw data counts into physical flux units, which is a fundamental photometric task.",
PHOTZPT,ST magnitude zero point,Photometry,float,ST magnitude zero point,SCI,HST,False,"This keyword specifies the magnitude zero point for the ST magnitude system, which is used to convert instrumental magnitudes to standard calibrated magnitudes. It's a key value for photometric analysis, particularly with HST data.",80,Essential for converting instrumental magnitudes into a standard magnitude system.,
PHOTPLAM,Pivot wavelength of the filter (Angstroms),Photometry,float,Pivot wavelength (Angstroms),SCI,HST,False,"This keyword defines the 'pivot wavelength' of the filter, which is a single characteristic wavelength representing the effective center of the filter's bandpass. It's crucial for understanding the spectral region observed and for various photometric calculations.",75,"Identifies the effective central wavelength of the filter, which is important for understanding the observed spectral region.",
PHOTBW,RMS bandwidth of the filter (Angstroms),Photometry,float,RMS bandwidth of filter (Angstroms),SCI,HST,False,"This keyword gives the root mean square (RMS) bandwidth of the filter, indicating the spread or width of the filter's transmission curve. It helps in characterizing the spectral resolution or range of wavelengths captured by the filter.",60,"Describes the width of the filter's bandpass, useful for detailed spectral context but less critical than pivot wavelength.",
PHOTFNU,Inverse sensitivity: flux density per count rate (Jy*sec),Photometry,float,Inverse sensitivity (Jy*sec),SCI,HST,False,"This keyword provides another measure of inverse sensitivity, specifically the flux density in Janskys that produces one count per second. It's used, along with PHOTFLAM, to convert raw counts into absolute flux units, but in units of flux density per unit frequency.",80,Provides another critical factor for converting raw data counts into physical flux density per unit frequency.,
ORIENTAT,"Image orientation: position angle of Y axis (degrees, east of north). HST legacy.",WCS,float,Position angle of image Y axis (deg E of N),SCI,HST,False,"This keyword indicates the orientation of the image on the sky, specifically the position angle of the image's Y-axis measured in degrees east of North. It's crucial for correctly orienting images for display or comparison with other data.",95,Essential for correctly orienting the image on the sky and understanding its spatial layout.,
PROPOSID,HST proposal ID number,Program,integer,Proposal ID,PRIMARY,HST,False,"This is the unique identifier for the scientific research project or proposal under which the astronomical data was collected. It allows users to group related observations, understand the scientific context, and find the principal investigators or institutions responsible for the data.",85,"This keyword provides crucial context about the scientific program, highly relevant for researchers and interested enthusiasts.",
LINENUM_HST,HST proposal line number,Program,string,proposal line number,PRIMARY,HST,False,"This keyword specifies a particular line item or individual observation within a broader HST proposal. While the PROPOSID identifies the overall project, LINENUM_HST helps pinpoint a specific observation request or configuration within that project.",60,"Useful for advanced users to pinpoint specific observations within a proposal, but less critical for general data exploration.",
TSTART,"Observation start time (BJD - 2457000 for TESS, BJD for Kepler)",Time,float,Observation start time,PRIMARY,TESS; Kepler; K2,False,"This keyword indicates the precise moment, in a standardized time system like Barycentric Julian Date, when the astronomical observation officially began. It is fundamental for knowing exactly when the data was collected and for correlating it with other astronomical events.",95,The start time is essential for nearly all users to understand when the observation occurred.,
TSTOP,Observation stop time,Time,float,Observation stop time,PRIMARY,TESS; Kepler; K2,False,"This keyword specifies the precise moment, in a standardized time system, when the astronomical observation concluded. Together with TSTART, it defines the total duration of the observation.",95,The stop time is essential for nearly all users to understand the duration and context of the observation.,
BJDREFI,Integer part of Barycentric Julian Date reference,Time,integer,BJD reference integer part,PRIMARY,TESS; Kepler; K2,False,"This keyword stores the integer part of a reference Barycentric Julian Date, which serves as a fixed offset for the timestamps within the data file. It is used in conjunction with BJDREFF to calculate highly precise Barycentric Julian Dates for each data point.",30,"This is a technical component for reconstructing precise times, which most end-users won't directly interact with.",
BJDREFF,Fractional part of Barycentric Julian Date reference,Time,float,BJD reference fractional part,PRIMARY,TESS; Kepler; K2,False,"This keyword stores the fractional part of a reference Barycentric Julian Date, used alongside BJDREFI to create a complete and extremely precise reference timestamp. Data points' individual times are then given as offsets from this reference.",30,"Similar to BJDREFI, this is a technical detail for time reconstruction rather than direct user information.",
TIMEDEL,Time resolution / cadence of data (days),Time,float,Time resolution of data,PRIMARY,TESS; Kepler; K2,False,"This keyword indicates the time interval or cadence between successive data points in the observation, typically in days. It is crucial for understanding the sampling rate of time-series data, such as light curves, and for assessing the temporal resolution.",85,Highly relevant for anyone analyzing time-series data to understand the sampling frequency.,
LIVETIME,Accumulated on-source live time (seconds). Used in X-ray missions.,Exposure,float,Accumulated on-source live time,PRIMARY,Chandra; XMM-OM; SwiftUVOT,False,"This keyword specifies the actual accumulated time, in seconds, during which the detector was actively collecting useful photons, excluding any periods of dead time, telemetry saturation, or other interruptions. It is particularly important for calculating accurate fluxes and count rates in high-energy astronomy.",80,"Crucial for quantitative analysis (e.g., flux calculations) as it reflects the true integration time.",
ONTIME,Sum of good time intervals (seconds),Exposure,float,Sum of good time intervals,PRIMARY,Chandra; SwiftUVOT,False,"This keyword represents the total duration, in seconds, during which the instrument was observing and collecting valid data, often summing up multiple 'good time intervals'. It is a key metric for understanding the total exposure duration and the reliability of the observation.",80,"Provides essential context regarding the total data collection time, important for assessing data quality and exposure.",
SECTOR,TESS observing sector number,Observation,integer,TESS observing sector,PRIMARY,TESS,False,"For TESS observations, this keyword identifies the specific sector number of the sky that was observed during a particular period. TESS observes the sky in a sequence of sectors, and this number tells you which portion of the sky the data corresponds to.",90,Essential for TESS users to understand the spatial context and campaign period of the observation.,
CAMERA,Camera number (1–4 for TESS),Instrument,integer,Camera number,PRIMARY,TESS,False,"This keyword identifies which of the TESS mission's four wide-field cameras acquired the data. It's important for understanding the specific instrument responsible for the observation, as each camera covers a distinct region of the sky and may have unique instrumental characteristics.",75,Useful for understanding the specific instrument part used and potential instrumental effects on the data.,
CCD,CCD number,Instrument,integer,CCD number,PRIMARY,TESS,False,"This specifies the particular Charge-Coupled Device (CCD) within a TESS camera that captured the data. Since each TESS camera has multiple CCDs, this information is valuable for detailed analysis and accounting for any detector-specific nuances or artifacts.",55,"Provides specific detector information, useful for detailed analysis but less critical for general users.",
TICID,TESS Input Catalog identifier,Target,integer,TESS Input Catalog ID,PRIMARY,TESS,False,"This is the unique identifier for the observed star within the TESS Input Catalog (TIC). It is crucial for linking the data to extensive external catalog information, enabling users to retrieve a wealth of stellar properties and cross-reference with other astronomical databases.",95,Essential for uniquely identifying the astronomical target and accessing external catalog data.,
KEPLERID,Kepler Input Catalog identifier,Target,integer,Kepler Input Catalog ID,PRIMARY,Kepler; K2,False,"This is the unique identifier for the observed star within the Kepler Input Catalog (KIC) for Kepler, or the K2 Ecliptic Plane Input Catalog (EPIC) for K2 data. It's vital for connecting the observation to comprehensive catalog details, allowing users to research stellar properties and cross-match with other datasets.",95,Essential for uniquely identifying the astronomical target and accessing external catalog data.,
QUARTER,Kepler observing quarter,Observation,integer,Kepler observing quarter,PRIMARY,Kepler,False,"This keyword indicates the specific three-month observing quarter during which the Kepler mission collected the data. It is important for organizing data temporally, understanding the observation epoch, and correlating observations with known mission events or data releases.",80,Important for understanding the temporal context of the observation and retrieving related data.,
CAMPAIGN,K2 campaign number,Observation,integer,K2 campaign number,PRIMARY,K2,False,"This specifies the K2 mission observing campaign number during which the data was acquired. K2 campaigns delineate distinct observing periods and sky fields, making this keyword important for data organization, understanding the observation's spatial and temporal context, and accessing relevant mission documentation.",80,Important for understanding the temporal context and specific observing field of the K2 mission.,
CROWDSAP,Crowding metric — ratio of target flux to total flux in aperture,Photometry,float,Crowding metric,PRIMARY,TESS; Kepler; K2,False,"This crowding metric represents the ratio of the target's own flux to the total flux measured within the photometric aperture. A value less than 1 indicates that light from nearby stars is contaminating the target's signal, which is critical for assessing the purity and reliability of the photometric measurements.",85,"Crucial for evaluating the quality and purity of photometric measurements, especially for exoplanet light curves.",
FLFRCSAP,Flux fraction in optimal aperture,Photometry,float,Flux fraction in optimal aperture,PRIMARY,TESS; Kepler; K2,False,"This keyword represents the fraction of the target's total light that falls within the chosen optimal photometric aperture. It's an important indicator of how effectively the target's flux was captured, helping users assess potential aperture losses and overall data quality.",80,Important for understanding how much of the target's light was captured in the photometric aperture.,
TMAG,TESS magnitude of the target,Photometry,float,TESS magnitude,PRIMARY,TESS,False,"This is the TESS magnitude of the target star, representing its brightness specifically in the TESS mission's wide red optical bandpass. It is fundamental for characterizing the target's intrinsic luminosity, comparing it with other stars, and performing various astrophysical analyses.",90,Essential for characterizing the target's brightness and for comparative analysis.,
KEPMAG,Kepler magnitude of the target,Photometry,float,Kepler magnitude,PRIMARY,Kepler; K2,False,"This is the Kepler magnitude of the target star, indicating its brightness in the Kepler mission's broad optical bandpass. It is a critical parameter for characterizing the star, comparing its properties with other stars, and is widely used in stellar and exoplanet research.",90,Essential for characterizing the target's brightness and for comparative analysis.,
NUVEXPTI,GALEX NUV exposure time (seconds),Exposure,float,NUV exposure time,PRIMARY,GALEX,False,"This keyword indicates the exposure time, in seconds, for the Near-Ultraviolet (NUV) channel of the GALEX mission. It directly tells you how long the detector collected light in the NUV band, which is crucial for understanding the signal-to-noise ratio and depth of the observation.",95,This is essential information for understanding the quality and depth of an astronomical observation.,
FUVEXPTI,GALEX FUV exposure time (seconds),Exposure,float,FUV exposure time,PRIMARY,GALEX,False,"This keyword specifies the exposure time, in seconds, for the Far-Ultraviolet (FUV) channel of the GALEX mission. Knowing this value is fundamental for assessing how much light was collected in the FUV band and for interpreting the brightness of observed objects in that wavelength range.",95,This is essential information for understanding the quality and depth of an astronomical observation.,
MESSION,GALEX mission phase identifier,Observation,string,GALEX mission phase,PRIMARY,GALEX,False,"This keyword identifies the specific mission phase or survey (e.g., 'GCS' for GALEX Complete Survey) during which the GALEX data was acquired. It provides important context about the overall scientific goals and observation strategy, which can influence data characteristics like depth and coverage.",75,"Provides important context for the observation, useful for researchers and advanced enthusiasts to understand data origins.",
ECLESSION,GALEX eclipse number (orbit),Observation,integer,Eclipse (orbit) number,PRIMARY,GALEX,False,This keyword indicates the orbit number during which the GALEX observation was conducted. It can be useful for tracking instrumental performance changes over the mission's lifetime or for correlating observations with specific orbital events.,55,"This is useful for advanced users tracking mission specifics or analyzing time-dependent trends, but less critical for general data viewing.",
AODO_COR,GALEX aspect-corrected optical distortion,Calibration,boolean,Aspect-corrected optical distortion,PRIMARY,GALEX,False,This is a boolean flag indicating whether the aspect-corrected optical distortion has been applied to the GALEX data. This correction is vital for ensuring accurate astrometry (correct positions) and photometry (correct brightness measurements) of objects in the image.,70,"This keyword is important for understanding the astrometric and photometric fidelity of the data, relevant for users performing scientific analysis.",
CHNLNUM,Spitzer IRAC channel number (1–4),Instrument,integer,IRAC channel number,PRIMARY,Spitzer,False,"This keyword specifies the channel number (1, 2, 3, or 4) of the Spitzer IRAC instrument used for the observation. Each channel observes a different infrared wavelength, making this essential for understanding the spectral band of the image.",90,"This is essential for understanding the specific wavelength range of the observation, which directly impacts scientific interpretation.",
AESSION_ID,Spitzer Astronomical Observation Request ID,Observation,integer,AOR ID,PRIMARY,Spitzer,False,"This is the unique Astronomical Observation Request (AOR) ID for Spitzer data. It links the observation back to its original scientific proposal and planning, allowing users to easily find associated data products and documentation within the Spitzer archive.",80,"This ID is highly useful for researchers to locate related data, proposals, and documentation in archives.",
FOVID,Field of view identifier,Observation,integer,Field of view ID,PRIMARY,Spitzer,False,"This keyword is a unique identifier for a specific field of view within a Spitzer observation. It helps distinguish individual frames, especially when an observation includes multiple dither positions or distinct sky regions within a single Astronomical Observation Request.",60,Useful for advanced users dealing with complex observation patterns or needing to link specific frames to their sky positions.,
PROJID,Pan-STARRS project identifier,Observation,integer,Project ID,PRIMARY,Pan-STARRS,False,"This keyword identifies the specific Pan-STARRS project or survey (e.g., PS1, PS2) that acquired the data. It provides context about the scientific goals and overall data characteristics of the observation, which can be relevant for understanding data quality and processing.",75,"Provides important context about the specific survey responsible for the data, useful for understanding data characteristics.",
SKYCELL,Pan-STARRS sky cell identifier,Observation,string,Sky cell ID,PRIMARY,Pan-STARRS,False,"This keyword provides the Pan-STARRS sky cell identifier, which is part of a fixed tessellation grid used by the survey to organize and process data across the sky. It helps in precisely locating and retrieving data within the vast Pan-STARRS dataset.",65,"This is useful for navigating and organizing data within the large Pan-STARRS survey footprint, particularly for advanced users.",
HIERARCH,ESO HIERARCH convention — allows keywords longer than 8 characters,Structural,string,Extended keyword mechanism,PRIMARY; SCI,FITS Standard,False,"HIERARCH is not a keyword itself, but a FITS convention that allows header keywords to be longer than the standard 8 characters. It enables more descriptive and organized metadata, making headers easier to understand and parse for complex instruments.",5,"This is a structural convention that enables other keywords, not a piece of information directly consumed by an end-user.",
CHECKSUM,HDU checksum (ASCII encoded complement for verification),Structural,string,HDU checksum,PRIMARY; SCI; ERR; DQ,FITS Standard; JWST; HST; TESS,False,"This keyword stores a verification code for the entire FITS Header Data Unit (HDU), which includes both the header and the data. Software uses this value to detect if any corruption occurred during data transmission or storage, ensuring the integrity of the file.",10,This keyword is purely for data integrity verification by software and holds no direct interpretative value for an end-user.,
DATASUM,Data unit checksum (32-bit ones-complement sum),Structural,string,Data unit checksum,PRIMARY; SCI; ERR; DQ,FITS Standard; JWST; HST; TESS,False,"This keyword provides a verification code specifically for the data array within an HDU, distinct from the header checksum. It helps ensure that the numerical pixel values themselves have not been corrupted during transfer or storage.",10,This keyword serves solely for data integrity verification and has no direct meaning or use for an astronomy app user.,
COMPRESS,On-board data compression was used (T/F),Instrument,boolean,On-board data compression was used (T/F),PRIMARY,JWST,False,This boolean keyword indicates whether the data within the FITS file was compressed by the instrument on board the spacecraft before transmission. Knowing this can be important for understanding potential effects on data fidelity or the need for decompression.,45,This information is useful for advanced users to understand data processing history and potential fidelity implications.,
FPE_SIDE,Active side for MIRI Focal Plane Electronics (A or B),Instrument,string,Active side for FPE (A or B),PRIMARY,JWST,False,"This keyword indicates which of the redundant Focal Plane Electronics (FPE) sides (A or B) was actively used for the MIRI instrument during the observation. This is internal instrument state information, relevant for diagnostics or detailed hardware context.",25,"This is highly specific instrument hardware status, primarily for engineers or very advanced users diagnosing issues.",
ICE_SIDE,Active side for MIRI Instrument Control Electronics (A or B),Instrument,string,Active side for ICE (A or B),PRIMARY,JWST,False,"This keyword specifies which of the redundant Instrument Control Electronics (ICE) sides (A or B) was active for the MIRI instrument. Similar to FPE_SIDE, it provides context about the instrument's operational configuration for specialists.",25,"This is highly specific instrument hardware status, primarily for engineers or very advanced users diagnosing issues.",
TARGCAT,Target category from APT,Target,string,Target category from APT,PRIMARY,JWST,False,"This keyword provides a high-level category for the observed target, typically originating from the Astronomer's Proposal Tool (APT). Examples include 'GALAXY', 'STAR', or 'PLANET', giving immediate context to the type of celestial object.",90,"This provides immediate context about the observed object type, useful for all user levels.",
TARGDESC,Target description from APT,Target,string,Target description from APT,PRIMARY,JWST,False,"This keyword offers a more detailed, free-form description of the target, often directly from the Astronomer's Proposal Tool (APT). It can include specific notes, aliases, or a more precise characterization, such as 'Active Galactic Nucleus in M87', enhancing understanding of the observation's scientific goal.",95,"This provides valuable descriptive context for the observed target, useful for understanding the science case.",
V2_REF,Telescope V2 coordinate of the reference point (arcsec),WCS,float,[arcsec] Telescope V2 coord of reference point,SCI,JWST,False,"This keyword specifies the telescope's V2 coordinate (in arcseconds) of a designated reference point within the image, in the instrument's frame. V2 and V3 coordinates are essential for precise astrometry, allowing scientists to accurately position observations on the sky and align data from different instruments.",75,"This is fundamental for precise astrometry and WCS transformations, making it highly relevant for analysis but less so for casual viewing.",
V3_REF,Telescope V3 coordinate of the reference point (arcsec),WCS,float,[arcsec] Telescope V3 coord of reference point,SCI,JWST,False,"This keyword specifies the telescope's V3 coordinate (in arcseconds) of the same designated reference point. Together with V2_REF, it forms the critical pair of values used to define the precise pointing and orientation of the observation within the telescope's coordinate system.",75,"This is fundamental for precise astrometry and WCS transformations, making it highly relevant for analysis but less so for casual viewing.",
VPARITY,Parity (sense) of aperture settings (1 or −1),WCS,integer,"Parity (sense) of aperture settings (1, -1)",SCI,JWST,False,"This keyword indicates the 'parity' or sense of certain aperture settings, typically represented as 1 or -1. It's an internal instrument configuration detail that helps define how specific optical components or apertures are oriented or behave within the instrument's optical path.",25,"This keyword describes an internal instrumental detail that is rarely relevant to data interpretation for most end-users, primarily used for internal calibration or instrument modeling.",
V3I_YANG,Direction angle of V3 axis in Y (degrees),WCS,float,[deg] Direction angle in V3 (Y),SCI,JWST,False,"This keyword specifies the direction angle of the V3 axis in the instrument's Y-coordinate system, measured in degrees. The V3 axis is part of JWST's unique coordinate system used to define the telescope's orientation relative to its focal plane.",30,"This keyword describes a very specific internal instrument orientation parameter, not typically needed by general users unless performing highly specialized instrument characterization or modeling.",
RA_REF,Right Ascension of the WCS reference point (degrees),WCS,float,[deg] Right Ascension of the reference point,SCI,JWST,False,"This keyword provides the Right Ascension (RA) of the reference point used for the World Coordinate System (WCS) of the image, expressed in degrees. This value, along with DEC_REF, tells you precisely where on the celestial sphere the observed data is located.",95,"Knowing the celestial coordinates (Right Ascension) of the data is fundamental for any astronomical analysis, display, or comparison with other observations.",
DEC_REF,Declination of the WCS reference point (degrees),WCS,float,[deg] Declination of the reference point,SCI,JWST,False,"This keyword provides the Declination (DEC) of the reference point used for the World Coordinate System (WCS) of the image, expressed in degrees. This value, along with RA_REF, defines the exact position of the observed data on the celestial sphere.",95,"Knowing the celestial coordinates (Declination) of the data is fundamental for any astronomical analysis, display, or comparison with other observations.",
ROLL_REF,"V3 roll angle at the reference point (degrees, N over E)",WCS,float,"[deg] V3 roll angle at ref point, N over E",SCI,JWST,False,"This keyword indicates the V3 roll angle at the WCS reference point, measured in degrees (often North over East). It defines the orientation of the instrument's field of view on the sky, telling you how the image is rotated relative to celestial north.",85,"This keyword indicates the orientation of the observation on the sky, which is important for understanding image rotation, aligning with other data, and creating sky-oriented visualizations.",
DISPAXIS,"Dispersion axis direction (1 = along rows, 2 = along columns)",WCS,integer,Dispersion direction,SCI,JWST; HST,False,"For spectroscopic data, this keyword indicates the direction along which the spectrum is dispersed on the detector. A value of 1 means dispersion is along the rows, and 2 means along the columns. This is crucial for correctly extracting one-dimensional spectra from two-dimensional detector images.",80,"This keyword is essential for understanding and processing spectroscopic data, as it defines the direction of wavelength dispersion across the detector.",
SPECSYS,"Spectral reference frame (e.g., BARYCENT, HELIOCEN, TOPOCENT)",WCS,string,Spectral reference frame,SCI,FITS Standard; JWST,False,"This keyword specifies the spectral reference frame used for any wavelength or velocity information in the data, such as BARYCENT (barycentric), HELIOCEN (heliocentric), or TOPOCENT (topocentric). It is vital for ensuring accurate comparisons of radial velocities or precise wavelength measurements from different observations.",75,"This keyword is vital for precise spectroscopic analysis, ensuring that velocity measurements and wavelength scales are correctly referenced and comparable.",
VELOSYS,Barycentric correction to radial velocity (m/s),WCS,float,[m/s] Barycentric correction to radial velocity,SCI,JWST,False,"This keyword provides the barycentric correction to the radial velocity, measured in meters per second. This value accounts for the observer's (or spacecraft's) motion relative to the Solar System barycenter, allowing observed velocities to be converted to a standard, consistent reference frame.",70,"This keyword provides an important velocity correction, crucial for accurate astrophysical measurements of radial velocity and comparing velocities across different datasets.",
REFFRAME,Ephemeris reference frame (EME2000),Ephemeris,string,Ephemeris reference frame (EME2000),SCI,JWST,False,"This keyword specifies the ephemeris reference frame, such as 'EME2000', used for the precise calculation of the spacecraft's or target's position and velocity. It defines the underlying coordinate system for these orbital mechanics calculations.",40,"This keyword specifies the technical coordinate system used for spacecraft ephemeris, which is mostly a backend detail for general users unless performing highly precise astrometry.",
EPH_TYPE,Ephemeris type: Definitive or Predicted,Ephemeris,string,Definitive or Predicted,SCI,JWST,False,"This keyword indicates the type of ephemeris data used, typically 'Definitive' or 'Predicted'. 'Definitive' means the ephemeris is based on actual tracking data, providing higher accuracy, while 'Predicted' uses models and is less precise. This affects the reliability of pointing and astrometry.",45,"This keyword provides information about the reliability and precision of the pointing ephemeris, useful for advanced users assessing data quality and positional accuracy.",
EPH_TIME,MJD time of position and velocity vectors,Ephemeris,float,[d] MJD time of position and velocity vectors,SCI,JWST,False,"This keyword indicates the Modified Julian Date (MJD) at which the recorded position and velocity vectors of the observatory (JWST) are valid. It provides the precise temporal reference point for the accompanying ephemeris data, which is crucial for accurate astrometric and orbital calculations.",55,This keyword provides the critical time reference for all other ephemeris data.,
